Title,Author,Additional Authors,Reference
"Roses Are Red (Alex Cross, #6)",James Patterson,,
"Pop Goes the Weasel (Alex Cross, #5)",James Patterson,,
"Cat & Mouse (Alex Cross, #4)",James Patterson,,
"Jack & Jill (Alex Cross, #3)",James Patterson,,
"Kiss the Girls (Alex Cross, #2)",James Patterson,,
"Along Came a Spider (Alex Cross, #1)",James Patterson,,
"Cross Country (Alex Cross, #14)",James Patterson,,
Girls in the Moon,Janet McNally,,
Thirteen Reasons Why,Jay Asher,,
American Dirt,Jeanine Cummins,,
The Glass Castle,Jeannette Walls,,
"Darkly Dreaming Dexter (Dexter, #1)",Jeff Lindsay,,
The Slight Edge,Jeff Olson,,
When Elephants Weep: The Emotional Lives of Animals,Jeffrey Moussaieff Masson,Susan McCarthy,
The Actor's Life: A Survival Guide,Jenna Fischer,,
Girls in White Dresses,Jennifer Close,,
Manhattan Beach,Jennifer Egan,,
All the Bright Places,Jennifer Niven,,
Let's Pretend This Never Happened: A Mostly True Memoir,Jenny  Lawson,,
Furiously Happy: A Funny Book About Horrible Things,Jenny  Lawson,,
"Always and Forever, Lara Jean (To All the Boys I've Loved Before, #3)",Jenny Han,,
"To All the Boys I've Loved Before (To All the Boys I've Loved Before, #1)",Jenny Han,,
P.S. I Still Love You (To All the Boys I've Loved Before #2),Jenny Han,,
I Like You Just the Way I Am: Stories About Me and Some Other People,Jenny Mollen,,
Live Fast Die Hot,Jenny Mollen,,
You'll Grow Out of It,Jessi Klein,,
Luckiest Girl Alive,Jessica Knoll,,
"Sorry I'm Late, I Didn't Want to Come: An Introvert's Year of Living Dangerously",Jessica Pan,,
Open Book,Jessica Simpson,Kevin Carr O'Leary,
The Namesake,Jhumpa Lahiri,,
Small Great Things,Jodi Picoult,,
House Rules,Jodi Picoult,,
The Tenth Circle,Jodi Picoult,,
Handle with Care,Jodi Picoult,,
The Storyteller,Jodi Picoult,,
Plain Truth,Jodi Picoult,,
The Pact,Jodi Picoult,,
Nineteen Minutes,Jodi Picoult,,
"Locke & Key, Vol. 1: Welcome to Lovecraft",Joe Hill,Gabriel Rodríguez,
"Locke & Key, Vol. 2: Head Games",Joe Hill,Gabriel Rodríguez,
The Heart's Invisible Furies,John Boyne,,
Mindhunter: Inside the FBI's Elite Serial Crime Unit,John E. Douglas,Mark Olshaker,
The Collector,John Fowles,,
Turtles All the Way Down,John Green,,
The Fault in Our Stars,John Green,,
"A Time to Kill (Jake Brigance, #1)",John Grisham,,
The Racketeer,John Grisham,,
"Beneath the Surface: Killer Whales, SeaWorld, and the Truth Beyond Blackfish",John Hargrove,Howard Chua-Eoan,
A Prayer for Owen Meany,John Irving,,
A Confederacy of Dunces,John Kennedy Toole,Walker Percy,
Smiley's People,John le Carré,,
The Honourable Schoolboy,John le Carré,,
"Tinker, Tailor, Soldier, Spy",John le Carré,,
The Hilarious World of Depression,John Moe,,
"Shadow Prey (Lucas Davenport, #2)",John Sandford,,
"Rules of Prey (Lucas Davenport, #1)",John Sandford,,
The Grapes of Wrath,John Steinbeck,,
East of Eden,John Steinbeck,,
"Harry Potter and the Cursed Child: Parts One and Two (Harry Potter, #8)",John Tiffany,"Jack Thorne, J.K. Rowling",
"Still Me (Me Before You, #3)",Jojo Moyes,,
"Me Before You (Me Before You, #1)",Jojo Moyes,,
Into Thin Air: A Personal Account of the Mount Everest Disaster,Jon Krakauer,,
It Takes Two: Our Story,Jonathan     Scott,Drew  Scott,
Alice Isn't Dead,Joseph Fink,,
"Catch-22 (Catch-22, #1)",Joseph Heller,,
The Choirboys,Joseph Wambaugh,,
The Onion Field,Joseph Wambaugh,,
"Malorie (Bird Box, #2)",Josh Malerman,J. Pekka Mäkelä,
Bird Box,Josh Malerman,,
"Twenty Thousand Leagues Under the Sea (Extraordinary Voyages, #6)",Jules Verne,Anthony Bonner,
The Last Flight,Julie   Clark,,
Marlena,Julie Buntin,,
Stay Sexy & Don’t Get Murdered: The Definitive How-To Guide,Karen Kilgariff,Georgia Hardstark,
"The Good Daughter (The Good Daughter, #1)",Karin Slaughter,,
The Kept Woman (Will Trent #8),Karin Slaughter,,
"Blindsighted (Grant County, #1)",Karin Slaughter,,
Pretty Girls,Karin Slaughter,,
"Triptych (Will Trent, #1)",Karin Slaughter,,
"The Good Daughter (Good Daughter, #1)",Karin Slaughter,,
Behind the Scenes at the Museum,Kate Atkinson,,
"Life After Life (Todd Family, #1)",Kate Atkinson,,
The Alice Network,Kate Quinn,,
The One and Only Ivan,Katherine Applegate,Patricia Castelao,
The Help,Kathryn Stockett,,
Official Book Club Selection: A Memoir According to Kathy Griffin,Kathy Griffin,,
The Best Advice I Ever Got: Lessons from Extraordinary Lives,Katie Couric,,
Sleeping with Fear (Bishop/Special Crimes Unit #9; Fear #3),Kay Hooper,,
The Buried Giant,Kazuo Ishiguro,,
